Investor_Name,Type,Locations,Check_Size_Min,Check_Size_Max,Stage,Requirements,Industries,Website,Logo_URL
Singtel Innov8,Corporate VC,"Singapore, Australia+3",1000000,5000000,"3. Early Revenue, 4. Scaling+1","We invest in 5G Enterprise & Applications, Data Privacy & Security, New Emerging...",,https://www.openvc.app/fund/Singtel%20Innov8,https://www.openvc.app/images/funds/recC8lr96CV1A7h2P.jpg
NextUnicorn.Fund,VC firm,"USA, India",25000,500000,"1. Idea or Patent, 2. Prototype+3","We invest in AI & tech enabled StartUp's & industry agnostic. We are a high-conviction, tech-enabled Pre-seed /...",,https://www.openvc.app/fund/NextUnicorn.Fund,https://www.openvc.app/images/funds/rect9BIF8LR5UoYMJ.jpg
Capital Factory,VC firm,USA,25000,200000,"2. Prototype, 3. Early Revenue+1","We invest in US-based technology companies where we can add additional value through our help with customer, employee,...",,https://www.openvc.app/fund/Capital%20Factory,https://www.openvc.app/images/funds/recWrFydM5qmGnARr.jpg
Orange Ventures,Corporate VC,"Cameroon, Central African Republic+42",500000,20000000,"3. Early Revenue, 4. Scaling+1",We invest in European and North American series B/C startups. We also support Seed and Series A impact investing...,,https://www.openvc.app/fund/Orange%20Ventures,https://www.openvc.app/images/funds/recpFa2HqFSlIZ4Mc.jpg
Colin Weston,Solo angel,"Switzerland, UK",10000,50000,"2. Prototype, 3. Early Revenue+1","I invest in fintech, regtech, legaltech, proptech",,https://www.openvc.app/fund/Colin%20Weston,https://www.openvc.app/images/funds/recJBoUbSuaEAbz1C.jpg
500 Istanbul,VC firm,"Turkey, Poland+18",150000,1000000,"2. Prototype, 3. Early Revenue","We invest in globally-focused seed stage startups with teams in Turkey, Eastern Europe and the...",,https://www.openvc.app/fund/500%20Istanbul,https://www.openvc.app/images/funds/recC4Yx4ZSzwjrRD3.jpg
Jeeny,Corporate VC,"India, Pakistan+9",50000,5000000,"3. Early Revenue, 4. Scaling","We invest in startups in Post-Seed and Pre-Series A stages that have created tangible momentum in ride-hailing,...",,https://www.openvc.app/fund/Jeeny,https://www.openvc.app/images/funds/recM7yg9hvjhj9Or0.jpg
LvlUp Ventures,Corporate VC,"Canada, USA+11",200000,1000000,"1. Idea or Patent, 2. Prototype+2",We invest in startups with early traction (industry-agnostic) - preferred mature seed companies with 50K min...,,https://www.openvc.app/fund/LvlUp%20Ventures,https://www.openvc.app/images/funds/recrw4qRk7OgQg3RF.jpg
Jared Luegers,Solo angel,USA,1000,50000,"1. Idea or Patent, 2. Prototype+1",I invest in Midwest-based startups.,,https://www.openvc.app/fund/Jared%20Luegers,https://www.openvc.app/images/funds/recc2vJkbogHtY97E.jpg
Michael Broome,Solo angel,USA,25000,500000,"1. Idea or Patent, 2. Prototype+1",I invest in opportunities where I can combine my entrepreneurial and investing experience to help founders build...,,https://www.openvc.app/fund/Michael%20Broome,https://www.openvc.app/images/funds/recXn4vEpvYrjDJbM.jpg
