Investor_Name,Type,Locations,Check_Size_Min,Check_Size_Max,Stage,Requirements,Industries,Website,Logo_URL
Cambridge Innovation C...,VC firm,UK,1000000,10000000,"2. Prototype, 3. Early Revenue+2","We invest in all things deeptech: AI, robotics, quantum, software, fusion, cleantech. And in all things Life Sciences:...",,https://www.openvc.app/fund/Cambridge%20Innovation%20Capital,https://www.openvc.app/images/funds/recCe1xbKRJDKtnKP.jpg
BDev Ventures,VC firm,"Brazil, Canada+4",50000,3000000,"3. Early Revenue, 4. Scaling+1",We invest in B2B businesses that target large markets in terms of contacts and have moved beyond founder-led sales. We...,,https://www.openvc.app/fund/BDev%20Ventures,https://www.openvc.app/images/funds/recwh2QmWF0hsoKGN.jpg
Via ID,Corporate VC,"Austria, Belgium+26",300000,5000000,3. Early Revenue,"We invest in European-based startups in the sustainable mobility (micromobility, electric vehicles, connected vehicles,...",,https://www.openvc.app/fund/Via%20ID,https://www.openvc.app/images/funds/recIN6myiB96exApd.jpg
TSP Ventures,Angel network,UK,70000,700000,"3. Early Revenue, 2. Prototype+1",We invest in UK-based Climate / CleanTech and InsurTech companies (from Pre Seed to Seed Extension rounds)...,,https://www.openvc.app/fund/TSP%20Ventures,https://www.openvc.app/images/funds/recP3NKyUMH7vH68M.jpg
Jeeny,Corporate VC,"India, Pakistan+9",50000,5000000,"3. Early Revenue, 4. Scaling","We invest in startups in Post-Seed and Pre-Series A stages that have created tangible momentum in ride-hailing,...",,https://www.openvc.app/fund/Jeeny,https://www.openvc.app/images/funds/recM7yg9hvjhj9Or0.jpg
J&T Ventures,VC firm,Czech Republic,300000,3000000,"1. Idea or Patent, 2. Prototype+1",We invest in companies at seed stage with proven product-market fit.,,https://www.openvc.app/fund/J%26T%20Ventures,https://www.openvc.app/images/funds/recBlTk9lpUKjQZp7.jpg
OVC Ventures,Angel network,"UK, USA+25",150000,1.5000000,"3. Early Revenue, 4. Scaling+1","We invest in all sectors, move fast (two weeks), have a high preference for startups that can demonstrate initial...",,https://www.openvc.app/fund/OVC%20Ventures,https://www.openvc.app/images/funds/recTPpyulE0uJpv8E.jpg
Jared Luegers,Solo angel,USA,1000,50000,"1. Idea or Patent, 2. Prototype+1",I invest in Midwest-based startups.,,https://www.openvc.app/fund/Jared%20Luegers,https://www.openvc.app/images/funds/recc2vJkbogHtY97E.jpg
Haatch,VC firm,UK,150000,620000,"1. Idea or Patent, 2. Prototype+1",We invest in UK-based B2B SaaS pre-seed or seed stage start-ups. Haatch is industry-agnostic with a portfolio across...,,https://www.openvc.app/fund/Haatch,https://www.openvc.app/images/funds/recTJ7TAoarqUxEbX.jpg
HTGF High-Tech Gründe...,VC firm,"Austria, Belgium+9",300000,1000000,"2. Prototype, 3. Early Revenue","We invest in early-stage companies with focus on B2B SaaS models, but also look into other opportunities. The venture...",,https://www.openvc.app/fund/HTGF%20High-Tech%20Gr%C3%BCnderfonds,https://www.openvc.app/images/funds/rectoRcYjkV5yvPS2.jpg
SET Ventures,VC firm,"Belgium, Denmark+15",1000000,6000000,"3. Early Revenue, 4. Scaling","We invest in their early growth stage and must have a strong digital DNA, building a solution for the energy system...",,https://www.openvc.app/fund/SET%20Ventures,https://www.openvc.app/images/funds/recqMfX8pl2UOsNC6.jpg
Francis Santora,Solo angel,"Canada, USA+4",10000,25000,"3. Early Revenue, 4. Scaling",I invest in companies like this: - $200-500k revenue growing fast - Huge market - Great product - Great founder That...,,https://www.openvc.app/fund/Francis%20Santora,https://www.openvc.app/images/funds/rechqesBT6CLqgqa8.jpg
Team8,VC firm,Israel,1000000,20000000,"1. Idea or Patent, 2. Prototype+2","We invest in, Cyber, FinTech, Enterprise Applications, Infrastructure & DevOps",,https://www.openvc.app/fund/Team8,https://www.openvc.app/images/funds/recBs6XhJsM1Fy0YE.jpg
BH3 Growth Equity,PE fund,"USA, Canada",5000000,30000000,"4. Scaling, 5. Growth+2","We invest in proptech, construction technology, sustainable building materials, modular construction, property...",,https://www.openvc.app/fund/BH3%20Growth%20Equity,https://www.openvc.app/images/funds/receFC1tdaYtHgb7L.jpg
Michael Broome,Solo angel,USA,25000,500000,"1. Idea or Patent, 2. Prototype+1",I invest in opportunities where I can combine my entrepreneurial and investing experience to help founders build...,,https://www.openvc.app/fund/Michael%20Broome,https://www.openvc.app/images/funds/recXn4vEpvYrjDJbM.jpg
SpringTime Ventures,VC firm,USA,500000,700000,"2. Prototype, 3. Early Revenue","We invest in fintech, insurtech, healthcare, logistics & supply chain in the USA only. Founders must be in the US and...",,https://www.openvc.app/fund/SpringTime%20Ventures,https://www.openvc.app/images/funds/recZoZlkrEOGXLJY5.jpg
Norselab,VC firm,"Norway, Sweden+9",1.5000000,5000000,"3. Early Revenue, 4. Scaling+1","We invest in impact startups primarily in the Nordics. Investment Themes: Energy Transition, Circularity & Sustainable...",,https://www.openvc.app/fund/Norselab,https://www.openvc.app/images/funds/recUeW0LDZYgdMXdh.jpg
Airbridge Equity Partn...,VC firm,"Netherlands, Belgium+7",1000000,5000000,"4. Scaling, 3. Early Revenue",We invest in companies where technology is at the heart of what they do and critical to the problems they solve for...,,https://www.openvc.app/fund/Airbridge%20Equity%20Partners,https://www.openvc.app/images/funds/recZ7oySbJssLClNi.jpg
Curiosity VC,VC firm,"Belgium, Denmark+8",500000,1000000,"3. Early Revenue, 4. Scaling","We invest in B2B software with a focus on applications of AI in Fintech, Proptech, Legaltech, Enterprise Software,...",,https://www.openvc.app/fund/Curiosity%20VC,https://www.openvc.app/images/funds/rec3gd1aG2ZZHO8iI.jpg
Singtel Innov8,Corporate VC,"Singapore, Australia+3",1000000,5000000,"3. Early Revenue, 4. Scaling+1","We invest in 5G Enterprise & Applications, Data Privacy & Security, New Emerging...",,https://www.openvc.app/fund/Singtel%20Innov8,https://www.openvc.app/images/funds/recC8lr96CV1A7h2P.jpg
