Investor_Name,Type,Locations,Check_Size_Min,Check_Size_Max,Stage,Requirements,Industries,Website,Logo_URL
Capital Factory,VC firm,USA,25000,200000,"2. Prototype, 3. Early Revenue+1","We invest in US-based technology companies where we can add additional value through our help with customer, employee,...",,https://www.openvc.app/fund/Capital%20Factory,https://www.openvc.app/images/funds/recWrFydM5qmGnARr.jpg
SpringTime Ventures,VC firm,USA,500000,700000,"2. Prototype, 3. Early Revenue","We invest in fintech, insurtech, healthcare, logistics & supply chain in the USA only. Founders must be in the US and...",,https://www.openvc.app/fund/SpringTime%20Ventures,https://www.openvc.app/images/funds/recZoZlkrEOGXLJY5.jpg
Via ID,Corporate VC,"Austria, Belgium+26",300000,5000000,3. Early Revenue,"We invest in European-based startups in the sustainable mobility (micromobility, electric vehicles, connected vehicles,...",,https://www.openvc.app/fund/Via%20ID,https://www.openvc.app/images/funds/recIN6myiB96exApd.jpg
MediaTech Hub Accelera...,"Incubator, Accelerator",Germany,N/A,,"1. Idea or Patent, 2. Prototype+1",We invest in Media Tech,,https://www.openvc.app/fund/MediaTech%20Hub%20Accelerator,https://www.openvc.app/images/funds/reccDx4WUPPneO2hJ.jpg
Epic Ventures,VC firm,Poland,250000,500000,"2. Prototype, 1. Idea or Patent","We invest in Polish B2B software and deeptech companies, having already helped more than 30 startups in raising funding...",,https://www.openvc.app/fund/Epic%20Ventures,https://www.openvc.app/images/funds/recImQp4gJ93w4MtC.jpg
Carbono3 Ventures,VC firm,"Dominican Republic, Colombia+13",100000,250000,"2. Prototype, 3. Early Revenue",We invest in Latin American Sustainability Tech startups. We prefer to lead pre-seed...,,https://www.openvc.app/fund/Carbono3%20Ventures,https://www.openvc.app/images/funds/recoHlMoLHzAWvMmx.jpg
Ascentro Capital Partn...,PE fund,"New Zealand, USA+1",5000000,100000000,5. Growth,"We invest in AI, Fintech, Cybersecurity, Health, Hardware, Ecommerce, Marketplaces, Education, Enterprise, Childcare,...",,https://www.openvc.app/fund/Ascentro%20Capital%20Partners,https://www.openvc.app/images/funds/rec2FUcTVMjO6h7MI.jpg
Ascendo VC,VC firm,USA,100000,500000,3. Early Revenue,We invest in Seed to Series A Companies led by founders from underrepresented segments. Technology-based business...,,https://www.openvc.app/fund/Ascendo%20VC,https://www.openvc.app/images/funds/rec9skLoYah4AtTmj.jpg
SET Ventures,VC firm,"Belgium, Denmark+15",1000000,6000000,"3. Early Revenue, 4. Scaling","We invest in their early growth stage and must have a strong digital DNA, building a solution for the energy system...",,https://www.openvc.app/fund/SET%20Ventures,https://www.openvc.app/images/funds/recqMfX8pl2UOsNC6.jpg
Continental CVC,Corporate VC,"Germany, USA+9",500000,10000000,"3. Early Revenue, 4. Scaling+1","We invest in global Series A and B. Minority investments within deeptech, mobility, sustainability, materials and...",,https://www.openvc.app/fund/Continental%20CVC,https://www.openvc.app/images/funds/rec2XGUcHDybZABAT.jpg
UCEA Capital Partners,Family office,"USA, UK+4",100000,1000000,"3. Early Revenue, 4. Scaling+1","We invest in sports, real estate, technology, renewable energy and healthcare",,https://www.openvc.app/fund/UCEA%20Capital%20Partners,https://www.openvc.app/images/funds/reckaDDrRm6LuzGKh.jpg
Sufeng Li,Solo angel,"Belgium, Denmark+11",5000,100000,"1. Idea or Patent, 2. Prototype+1",I invest in Fintech/AI/Future way of work,,https://www.openvc.app/fund/Sufeng%20Li,https://www.openvc.app/images/funds/recmMaVLGwlGWQm9T.jpg
LvlUp Ventures,Corporate VC,"Canada, USA+11",200000,1000000,"1. Idea or Patent, 2. Prototype+2",We invest in startups with early traction (industry-agnostic) - preferred mature seed companies with 50K min...,,https://www.openvc.app/fund/LvlUp%20Ventures,https://www.openvc.app/images/funds/recrw4qRk7OgQg3RF.jpg
AIP Seed VC,VC firm,Poland,50000,400000,"1. Idea or Patent, 2. Prototype+1",We invest in founders of all origins who wants to build something amazing from Poland or are polish diaspora. We are...,,https://www.openvc.app/fund/AIP%20Seed%20VC,https://www.openvc.app/images/funds/recR2OxZK87Wr08S2.jpg
Curiosity VC,VC firm,"Belgium, Denmark+8",500000,1000000,"3. Early Revenue, 4. Scaling","We invest in B2B software with a focus on applications of AI in Fintech, Proptech, Legaltech, Enterprise Software,...",,https://www.openvc.app/fund/Curiosity%20VC,https://www.openvc.app/images/funds/rec3gd1aG2ZZHO8iI.jpg
OVC Ventures,Angel network,"UK, USA+25",150000,1.5000000,"3. Early Revenue, 4. Scaling+1","We invest in all sectors, move fast (two weeks), have a high preference for startups that can demonstrate initial...",,https://www.openvc.app/fund/OVC%20Ventures,https://www.openvc.app/images/funds/recTPpyulE0uJpv8E.jpg
Colin Weston,Solo angel,"Switzerland, UK",10000,50000,"2. Prototype, 3. Early Revenue+1","I invest in fintech, regtech, legaltech, proptech",,https://www.openvc.app/fund/Colin%20Weston,https://www.openvc.app/images/funds/recJBoUbSuaEAbz1C.jpg
Vesna Capital,VC firm,"Ukraine, Poland+14",50000,200000,"3. Early Revenue, 4. Scaling",We invest in startups from CEE and Nordic regions at pre-seed and seed stages. Our average check size is $50-200k. We...,,https://www.openvc.app/fund/Vesna%20Capital,https://www.openvc.app/images/funds/rec7230rmZNTOUiIH.jpg
Cambridge Innovation C...,VC firm,UK,1000000,10000000,"2. Prototype, 3. Early Revenue+2","We invest in all things deeptech: AI, robotics, quantum, software, fusion, cleantech. And in all things Life Sciences:...",,https://www.openvc.app/fund/Cambridge%20Innovation%20Capital,https://www.openvc.app/images/funds/recCe1xbKRJDKtnKP.jpg
Underline Ventures,VC firm,"Albania, Belarus+18",200000,1000000,"1. Idea or Patent, 2. Prototype+1",We invest in Eastern European founders building high-growth startups with global ambitions. We are...,,https://www.openvc.app/fund/Underline%20Ventures,https://www.openvc.app/images/funds/recjJ6VPbaQmUo6pB.jpg
