Investor_Name,Type,Locations,Check_Size_Min,Check_Size_Max,Stage,Requirements,Industries,Website,Logo_URL
Keyhorse Capital,VC firm,USA,25000,1000000,"2. Prototype, 3. Early Revenue+1",We invest in pre-seed and seed stage companies based in Kentucky. Keyhorse is the investment arm of Kentucky Science...,,https://www.openvc.app/fund/Keyhorse%20Capital,https://www.openvc.app/images/funds/recPwxnEsFGIJ1FQD.jpg
Bitdefender Voyager Ve...,Corporate VC,"Austria, Belgium+36",200000,1000000,"2. Prototype, 3. Early Revenue+1","We invest in - Cybersecurity, Data Analytics, Automation, Digital Infrastructure, Quantum Tech - Pre-Seed, Seed and...",,https://www.openvc.app/fund/Bitdefender%20Voyager%20Ventures,https://www.openvc.app/images/funds/recZkGg1P72fpYam5.jpg
TSP Ventures,Angel network,UK,70000,700000,"3. Early Revenue, 2. Prototype+1",We invest in UK-based Climate / CleanTech and InsurTech companies (from Pre Seed to Seed Extension rounds)...,,https://www.openvc.app/fund/TSP%20Ventures,https://www.openvc.app/images/funds/recP3NKyUMH7vH68M.jpg
Ascentro Capital Partn...,PE fund,"New Zealand, USA+1",5000000,100000000,5. Growth,"We invest in AI, Fintech, Cybersecurity, Health, Hardware, Ecommerce, Marketplaces, Education, Enterprise, Childcare,...",,https://www.openvc.app/fund/Ascentro%20Capital%20Partners,https://www.openvc.app/images/funds/rec2FUcTVMjO6h7MI.jpg
Amit Gogia,Solo angel,India,10000,25000,"3. Early Revenue, 4. Scaling",I invest in ventures building at the intersection of consumer and healthcare focussed on India. Current portfolio is a...,,https://www.openvc.app/fund/Amit%20Gogia,https://www.openvc.app/images/funds/rec6XKylJl6ROgvV8.jpg
Skilltor Tech Venture ...,Startup studio,"Zimbabwe, Afghanistan+16",500000,1000000,"1. Idea or Patent, 2. Prototype+4","We invest in Web3, AI, Digital Trust, Infrastructure Software, Saas, Marketplace and Gaming startups with in a MVP...",,https://www.openvc.app/fund/Skilltor%20Tech%20Venture%20Studio,https://www.openvc.app/images/funds/recrJ9bxGwah1RCla.jpg
DCA Asset Management,VC firm,"Canada, USA+1",25000,2000000,"3. Early Revenue, 4. Scaling",We invest in companies that are in market showing promising early growth and scale. Industry...,,https://www.openvc.app/fund/DCA%20Asset%20Management,https://www.openvc.app/images/funds/recNLrOaL6CGZh38K.jpg
3VC,VC firm,"Austria, Bulgaria+14",1000000,5000000,"3. Early Revenue, 4. Scaling","We invest in AI, dev tools, deep tech, security, AR/VR, data analytics, digital health, app/mobile, new frontier We...",,https://www.openvc.app/fund/3VC,https://www.openvc.app/images/funds/rec5iJrIoTbeXJU3F.jpg
Curiosity VC,VC firm,"Belgium, Denmark+8",500000,1000000,"3. Early Revenue, 4. Scaling","We invest in B2B software with a focus on applications of AI in Fintech, Proptech, Legaltech, Enterprise Software,...",,https://www.openvc.app/fund/Curiosity%20VC,https://www.openvc.app/images/funds/rec3gd1aG2ZZHO8iI.jpg
GoingVC Partners,VC firm,USA,50000,200000,"2. Prototype, 3. Early Revenue+1","We invest into companies in various stages, with the most compelling investments in early stages. Ideation drives...",,https://www.openvc.app/fund/GoingVC%20Partners,https://www.openvc.app/images/funds/recAHHfsVtBn6xjxY.jpg
Colin Weston,Solo angel,"Switzerland, UK",10000,50000,"2. Prototype, 3. Early Revenue+1","I invest in fintech, regtech, legaltech, proptech",,https://www.openvc.app/fund/Colin%20Weston,https://www.openvc.app/images/funds/recJBoUbSuaEAbz1C.jpg
Singtel Innov8,Corporate VC,"Singapore, Australia+3",1000000,5000000,"3. Early Revenue, 4. Scaling+1","We invest in 5G Enterprise & Applications, Data Privacy & Security, New Emerging...",,https://www.openvc.app/fund/Singtel%20Innov8,https://www.openvc.app/images/funds/recC8lr96CV1A7h2P.jpg
Cambridge Innovation C...,VC firm,UK,1000000,10000000,"2. Prototype, 3. Early Revenue+2","We invest in all things deeptech: AI, robotics, quantum, software, fusion, cleantech. And in all things Life Sciences:...",,https://www.openvc.app/fund/Cambridge%20Innovation%20Capital,https://www.openvc.app/images/funds/recCe1xbKRJDKtnKP.jpg
Epic Ventures,VC firm,Poland,250000,500000,"2. Prototype, 1. Idea or Patent","We invest in Polish B2B software and deeptech companies, having already helped more than 30 startups in raising funding...",,https://www.openvc.app/fund/Epic%20Ventures,https://www.openvc.app/images/funds/recImQp4gJ93w4MtC.jpg
J&T Ventures,VC firm,Czech Republic,300000,3000000,"1. Idea or Patent, 2. Prototype+1",We invest in companies at seed stage with proven product-market fit.,,https://www.openvc.app/fund/J%26T%20Ventures,https://www.openvc.app/images/funds/recBlTk9lpUKjQZp7.jpg
Norselab,VC firm,"Norway, Sweden+9",1.5000000,5000000,"3. Early Revenue, 4. Scaling+1","We invest in impact startups primarily in the Nordics. Investment Themes: Energy Transition, Circularity & Sustainable...",,https://www.openvc.app/fund/Norselab,https://www.openvc.app/images/funds/recUeW0LDZYgdMXdh.jpg
gAI Ventures,Startup studio,"USA, India",100000,100000,1. Idea or Patent,We incubate vertical AI products with domain experts in financial services and insurance (FSI)...,,https://www.openvc.app/fund/gAI%20Ventures,https://www.openvc.app/images/funds/recPYbjMSLZ9j1qwP.jpg
BH3 Growth Equity,PE fund,"USA, Canada",5000000,30000000,"4. Scaling, 5. Growth+2","We invest in proptech, construction technology, sustainable building materials, modular construction, property...",,https://www.openvc.app/fund/BH3%20Growth%20Equity,https://www.openvc.app/images/funds/receFC1tdaYtHgb7L.jpg
Rubio Impact Ventures,VC firm,"Austria, Belgium+15",500000,5000000,"2. Prototype, 3. Early Revenue+1","We invest in climatetech, food & agri, circular businesses, education, work, wellbeing and public resilience (Seed and...",,https://www.openvc.app/fund/Rubio%20Impact%20Ventures,https://www.openvc.app/images/funds/recMEU8mG7INa0oGh.jpg
Katha VC,VC firm,"Botswana, Kenya+23",100000,500000,"2. Prototype, 3. Early Revenue+2",We invest in Pre-Seed and Seed High Growth Markets Fintech. We also consider non-fintech companies where embedded...,,https://www.openvc.app/fund/Katha%20VC,https://www.openvc.app/images/funds/recPHuZihRMJFpLS6.jpg
