Investor_Name,Type,Locations,Check_Size_Min,Check_Size_Max,Stage,Requirements,Industries,Website,Logo_URL
OVC Ventures,Angel network,"UK, USA+25",150000,1.5000000,"3. Early Revenue, 4. Scaling+1","We invest in all sectors, move fast (two weeks), have a high preference for startups that can demonstrate initial...",,https://www.openvc.app/fund/OVC%20Ventures,https://www.openvc.app/images/funds/recTPpyulE0uJpv8E.jpg
Lukkap Venture Lab,VC firm,Spain,50000,150000,"1. Idea or Patent, 2. Prototype+1",We invest in early stage startups that have already developed a product with a market fit. Our pre-money valuation...,,https://www.openvc.app/fund/Lukkap%20Venture%20Lab,https://www.openvc.app/images/funds/recMaAujdPSjRs8b1.jpg
UCEA Capital Partners,Family office,"USA, UK+4",100000,1000000,"3. Early Revenue, 4. Scaling+1","We invest in sports, real estate, technology, renewable energy and healthcare",,https://www.openvc.app/fund/UCEA%20Capital%20Partners,https://www.openvc.app/images/funds/reckaDDrRm6LuzGKh.jpg
KXVC,Corporate VC,"USA, UK+1",1000000,3000000,3. Early Revenue,"We invest in AI pillars including Cybersecurity, AI Data Infrastructure and Enterprise AI, preferably with current...",,https://www.openvc.app/fund/KXVC,https://www.openvc.app/images/funds/rec2Bp0rebmpkmzLf.jpg
First Momentum Venture...,VC firm,"Albania, Andorra+39",200000,1000000,1. Idea or Patent,We invest in pre/early-traction B2B companies with a technical core as their main differentiator. We mainly invest in...,,https://www.openvc.app/fund/First%20Momentum%20Ventures,https://www.openvc.app/images/funds/recH5m8UW5yJUsCeb.jpg
Singtel Innov8,Corporate VC,"Singapore, Australia+3",1000000,5000000,"3. Early Revenue, 4. Scaling+1","We invest in 5G Enterprise & Applications, Data Privacy & Security, New Emerging...",,https://www.openvc.app/fund/Singtel%20Innov8,https://www.openvc.app/images/funds/recC8lr96CV1A7h2P.jpg
AIP Seed VC,VC firm,Poland,50000,400000,"1. Idea or Patent, 2. Prototype+1",We invest in founders of all origins who wants to build something amazing from Poland or are polish diaspora. We are...,,https://www.openvc.app/fund/AIP%20Seed%20VC,https://www.openvc.app/images/funds/recR2OxZK87Wr08S2.jpg
Carbono3 Ventures,VC firm,"Dominican Republic, Colombia+13",100000,250000,"2. Prototype, 3. Early Revenue",We invest in Latin American Sustainability Tech startups. We prefer to lead pre-seed...,,https://www.openvc.app/fund/Carbono3%20Ventures,https://www.openvc.app/images/funds/recoHlMoLHzAWvMmx.jpg
Cambridge Innovation C...,VC firm,UK,1000000,10000000,"2. Prototype, 3. Early Revenue+2","We invest in all things deeptech: AI, robotics, quantum, software, fusion, cleantech. And in all things Life Sciences:...",,https://www.openvc.app/fund/Cambridge%20Innovation%20Capital,https://www.openvc.app/images/funds/recCe1xbKRJDKtnKP.jpg
Framework Venture Part...,VC firm,"Canada, USA",500000,10000000,4. Scaling,"We invest in Series A and B startups in Fintech, Insurtech, Vertical SaaS, and AI-powered platforms with B2B models and...",,https://www.openvc.app/fund/Framework%20Venture%20Partners,https://www.openvc.app/images/funds/recv435trqajHUmAD.jpg
