Investor_Name,Type,Locations,Check_Size_Min,Check_Size_Max,Stage,Requirements,Industries,Website,Logo_URL
Framework Venture Part...,VC firm,"Canada, USA",500000,10000000,4. Scaling,"We invest in Series A and B startups in Fintech, Insurtech, Vertical SaaS, and AI-powered platforms with B2B models and...",,https://www.openvc.app/fund/Framework%20Venture%20Partners,https://www.openvc.app/images/funds/recv435trqajHUmAD.jpg
gAI Ventures,Startup studio,"USA, India",100000,100000,1. Idea or Patent,We incubate vertical AI products with domain experts in financial services and insurance (FSI)...,,https://www.openvc.app/fund/gAI%20Ventures,https://www.openvc.app/images/funds/recPYbjMSLZ9j1qwP.jpg
J&T Ventures,VC firm,Czech Republic,300000,3000000,"1. Idea or Patent, 2. Prototype+1",We invest in companies at seed stage with proven product-market fit.,,https://www.openvc.app/fund/J%26T%20Ventures,https://www.openvc.app/images/funds/recBlTk9lpUKjQZp7.jpg
MediaTech Hub Accelera...,"Incubator, Accelerator",Germany,N/A,,"1. Idea or Patent, 2. Prototype+1",We invest in Media Tech,,https://www.openvc.app/fund/MediaTech%20Hub%20Accelerator,https://www.openvc.app/images/funds/reccDx4WUPPneO2hJ.jpg
Vesna Capital,VC firm,"Ukraine, Poland+14",50000,200000,"3. Early Revenue, 4. Scaling",We invest in startups from CEE and Nordic regions at pre-seed and seed stages. Our average check size is $50-200k. We...,,https://www.openvc.app/fund/Vesna%20Capital,https://www.openvc.app/images/funds/rec7230rmZNTOUiIH.jpg
Colin Weston,Solo angel,"Switzerland, UK",10000,50000,"2. Prototype, 3. Early Revenue+1","I invest in fintech, regtech, legaltech, proptech",,https://www.openvc.app/fund/Colin%20Weston,https://www.openvc.app/images/funds/recJBoUbSuaEAbz1C.jpg
Cambridge Innovation C...,VC firm,UK,1000000,10000000,"2. Prototype, 3. Early Revenue+2","We invest in all things deeptech: AI, robotics, quantum, software, fusion, cleantech. And in all things Life Sciences:...",,https://www.openvc.app/fund/Cambridge%20Innovation%20Capital,https://www.openvc.app/images/funds/recCe1xbKRJDKtnKP.jpg
Bitdefender Voyager Ve...,Corporate VC,"Austria, Belgium+36",200000,1000000,"2. Prototype, 3. Early Revenue+1","We invest in - Cybersecurity, Data Analytics, Automation, Digital Infrastructure, Quantum Tech - Pre-Seed, Seed and...",,https://www.openvc.app/fund/Bitdefender%20Voyager%20Ventures,https://www.openvc.app/images/funds/recZkGg1P72fpYam5.jpg
GoingVC Partners,VC firm,USA,50000,200000,"2. Prototype, 3. Early Revenue+1","We invest into companies in various stages, with the most compelling investments in early stages. Ideation drives...",,https://www.openvc.app/fund/GoingVC%20Partners,https://www.openvc.app/images/funds/recAHHfsVtBn6xjxY.jpg
TSP Ventures,Angel network,UK,70000,700000,"3. Early Revenue, 2. Prototype+1",We invest in UK-based Climate / CleanTech and InsurTech companies (from Pre Seed to Seed Extension rounds)...,,https://www.openvc.app/fund/TSP%20Ventures,https://www.openvc.app/images/funds/recP3NKyUMH7vH68M.jpg
