Investor_Name,Type,Locations,Check_Size_Min,Check_Size_Max,Stage,Requirements,Industries,Website,Logo_URL
OTP Ventures,VC firm,India,500000,2000000,"2. Prototype, 3. Early Revenue","We invest in consumer brands, consumer tech/platforms, fintech, and Agritech at the seed or pre-Series A stage,...",,https://www.openvc.app/fund/OTP%20Ventures,https://www.openvc.app/images/funds/recB3NeeZkjiJy4n3.jpg
HTGF High-Tech Gründe...,VC firm,"Austria, Belgium+9",300000,1000000,"2. Prototype, 3. Early Revenue","We invest in early-stage companies with focus on B2B SaaS models, but also look into other opportunities. The venture...",,https://www.openvc.app/fund/HTGF%20High-Tech%20Gr%C3%BCnderfonds,https://www.openvc.app/images/funds/rectoRcYjkV5yvPS2.jpg
Ascendo VC,VC firm,USA,100000,500000,3. Early Revenue,We invest in Seed to Series A Companies led by founders from underrepresented segments. Technology-based business...,,https://www.openvc.app/fund/Ascendo%20VC,https://www.openvc.app/images/funds/rec9skLoYah4AtTmj.jpg
Doug Hickey,Solo angel,USA,25000,200000,"1. Idea or Patent, 2. Prototype+3",I invest in product-first companies that are looking to solve problems for their...,,https://www.openvc.app/fund/Doug%20Hickey,https://www.openvc.app/images/funds/recricy144rMMbHOI.jpg
First Momentum Venture...,VC firm,"Albania, Andorra+39",200000,1000000,1. Idea or Patent,We invest in pre/early-traction B2B companies with a technical core as their main differentiator. We mainly invest in...,,https://www.openvc.app/fund/First%20Momentum%20Ventures,https://www.openvc.app/images/funds/recH5m8UW5yJUsCeb.jpg
MediaTech Hub Accelera...,"Incubator, Accelerator",Germany,N/A,,"1. Idea or Patent, 2. Prototype+1",We invest in Media Tech,,https://www.openvc.app/fund/MediaTech%20Hub%20Accelerator,https://www.openvc.app/images/funds/reccDx4WUPPneO2hJ.jpg
SpringTime Ventures,VC firm,USA,500000,700000,"2. Prototype, 3. Early Revenue","We invest in fintech, insurtech, healthcare, logistics & supply chain in the USA only. Founders must be in the US and...",,https://www.openvc.app/fund/SpringTime%20Ventures,https://www.openvc.app/images/funds/recZoZlkrEOGXLJY5.jpg
Barak Edut,Solo angel,"USA, China+5",5000,100000,"2. Prototype, 3. Early Revenue+1","I invest in scalable, consumer-focused products or platforms that have demonstrated strong product-market fit and are...",,https://www.openvc.app/fund/Barak%20Edut,https://www.openvc.app/images/funds/recKkfXNrzGkymSW1.jpg
gAI Ventures,Startup studio,"USA, India",100000,100000,1. Idea or Patent,We incubate vertical AI products with domain experts in financial services and insurance (FSI)...,,https://www.openvc.app/fund/gAI%20Ventures,https://www.openvc.app/images/funds/recPYbjMSLZ9j1qwP.jpg
Michael Broome,Solo angel,USA,25000,500000,"1. Idea or Patent, 2. Prototype+1",I invest in opportunities where I can combine my entrepreneurial and investing experience to help founders build...,,https://www.openvc.app/fund/Michael%20Broome,https://www.openvc.app/images/funds/recXn4vEpvYrjDJbM.jpg
