Investor_Name,Type,Locations,Check_Size_Min,Check_Size_Max,Stage,Requirements,Industries,Website,Logo_URL
Curiosity VC,VC firm,"Belgium, Denmark+8",500000,1000000,"3. Early Revenue, 4. Scaling","We invest in B2B software with a focus on applications of AI in Fintech, Proptech, Legaltech, Enterprise Software,...",,https://www.openvc.app/fund/Curiosity%20VC,https://www.openvc.app/images/funds/rec3gd1aG2ZZHO8iI.jpg
Framework Venture Part...,VC firm,"Canada, USA",500000,10000000,4. Scaling,"We invest in Series A and B startups in Fintech, Insurtech, Vertical SaaS, and AI-powered platforms with B2B models and...",,https://www.openvc.app/fund/Framework%20Venture%20Partners,https://www.openvc.app/images/funds/recv435trqajHUmAD.jpg
Haatch,VC firm,UK,150000,620000,"1. Idea or Patent, 2. Prototype+1",We invest in UK-based B2B SaaS pre-seed or seed stage start-ups. Haatch is industry-agnostic with a portfolio across...,,https://www.openvc.app/fund/Haatch,https://www.openvc.app/images/funds/recTJ7TAoarqUxEbX.jpg
Ascendo VC,VC firm,USA,100000,500000,3. Early Revenue,We invest in Seed to Series A Companies led by founders from underrepresented segments. Technology-based business...,,https://www.openvc.app/fund/Ascendo%20VC,https://www.openvc.app/images/funds/rec9skLoYah4AtTmj.jpg
Cambridge Innovation C...,VC firm,UK,1000000,10000000,"2. Prototype, 3. Early Revenue+2","We invest in all things deeptech: AI, robotics, quantum, software, fusion, cleantech. And in all things Life Sciences:...",,https://www.openvc.app/fund/Cambridge%20Innovation%20Capital,https://www.openvc.app/images/funds/recCe1xbKRJDKtnKP.jpg
Norselab,VC firm,"Norway, Sweden+9",1.5000000,5000000,"3. Early Revenue, 4. Scaling+1","We invest in impact startups primarily in the Nordics. Investment Themes: Energy Transition, Circularity & Sustainable...",,https://www.openvc.app/fund/Norselab,https://www.openvc.app/images/funds/recUeW0LDZYgdMXdh.jpg
3VC,VC firm,"Austria, Bulgaria+14",1000000,5000000,"3. Early Revenue, 4. Scaling","We invest in AI, dev tools, deep tech, security, AR/VR, data analytics, digital health, app/mobile, new frontier We...",,https://www.openvc.app/fund/3VC,https://www.openvc.app/images/funds/rec5iJrIoTbeXJU3F.jpg
Orange Ventures,Corporate VC,"Cameroon, Central African Republic+42",500000,20000000,"3. Early Revenue, 4. Scaling+1",We invest in European and North American series B/C startups. We also support Seed and Series A impact investing...,,https://www.openvc.app/fund/Orange%20Ventures,https://www.openvc.app/images/funds/recpFa2HqFSlIZ4Mc.jpg
Bitdefender Voyager Ve...,Corporate VC,"Austria, Belgium+36",200000,1000000,"2. Prototype, 3. Early Revenue+1","We invest in - Cybersecurity, Data Analytics, Automation, Digital Infrastructure, Quantum Tech - Pre-Seed, Seed and...",,https://www.openvc.app/fund/Bitdefender%20Voyager%20Ventures,https://www.openvc.app/images/funds/recZkGg1P72fpYam5.jpg
Sabban Corp Investment,Family office,UAE,50000,600000,"3. Early Revenue, 4. Scaling+3","We invest in Fintech, Manufacturing, Agriculture, Software, IoT, Logistics,...",,https://www.openvc.app/fund/Sabban%20Corp%20Investment,https://www.openvc.app/images/funds/recwyrSwaFA27DoOg.jpg
